Team,Total_Matches,Home_Matches,Away_Matches,Wins,Draws,Losses,Win_Rate
FC_Koln,102,51,51,33,31,38,32.4%
Hamburger_SV,102,51,51,53,24,25,52.0%
Levante_UD,126,63,63,53,51,22,42.1%
Elche_CF,122,61,61,43,32,47,35.2%
Real_Oviedo,126,63,63,54,36,36,42.9%
Sassuolo,114,57,57,44,25,45,38.6%
Pisa,114,57,57,44,35,35,38.6%
Cremonese,114,57,57,40,35,39,35.1%
FC_Lorient,106,53,53,44,23,39,41.5%
Paris_FC,110,55,55,52,27,31,47.3%
FC_Metz,34,17,17,18,11,5,52.9%
